Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Cited,classification,keywords,rationale,Feeling AI,Mechanical AI,Thinking AI,Out of Scope,Not Identified,Year_Group,Topic,resumo
Assessing hotel readiness to offer local cuisines: a clustering approach,Bondzi-Simpson A.; Ayeh J.K.,2019,10.1108/IJCHM-12-2017-0820,"Purpose: The purpose of this paper is to assess the organisational readiness of small and medium scaled hotels to serve indigenous local cuisines and to segment the hotel properties for gastronomic tourism campaigning and destination marketing aims. The study also explores how the concept of organisational readiness relates to menu decision makers’ intentions, perceived benefits and organisational characteristics. Design/methodology/approach: Organisational readiness was measured by three dimensions (culture, climate and capacity). Data were derived from a survey of primary menu decision makers from 187 hotels in Ghana. Using a combination of hierarchical and non-hierarchical (K-means) algorithms, the hotels were clustered into homogenous groups based on the original raw scores of hotel readiness indicators. The resultant cluster solution was then validated and profiled against relevant external variables. Findings: Analyses reveal three clusters which distinguish hotels by the degree of readiness to serve indigenous local dishes. The resultant segments differ by hotel category (star rating) as well as by the job positions and perceptions of primary menu decision makers. Unexpectedly, lower class hotels displayed significantly greater levels of organisational readiness to serve indigenous cuisines than those in the higher class category. Research limitations/implications: The study demonstrates that organisational readiness is related to perceived benefits and intentions. Among others, the findings advance the understanding of organisational readiness in hotels in the context of menu decision-making. Given the need to embed new practices in a fast-changing hospitality environment, insights drawn could also serve as a basis for future research. Generalisability of empirical findings may be limited by the socio-economic context as well as the study’s focus on small and medium scaled hotels. Practical implications: This paper supports hotel businesses in understanding the concept of organisational readiness and its relation to organisational characteristics and menu decision-making. By highlighting the different clusters of hotels, the findings accentuate the need for destination marketers and gastronomic tourism campaigners to target higher classed hotels and draw attention to the potential benefits of serving indigenous cuisines while addressing latent concerns. The results further underscore the role of organisational culture and the necessity for such campaign activities to be directed towards those with ample influence within the hierarchical structures of hotels. Originality/value: This is an initial attempt to examine the application of the organisational readiness concept to menu decision-making in hotels and to explore the implications for segmentation purposes. Further analysis revealed the critical role of organisational culture on menu decision-making patterns. Thus, the paper applies an important element of organisational development theory to the hotel industry and represents a valuable contribution to the scant literature on indigenous cuisines in hotel food service contexts. © 2019, Emerald Publishing Limited.",Culinary tourism; Food service; Indigenous dishes; Menus; Organizational readiness; Segmentation,Emerald Group Holdings Ltd.,scopus-k-means,28,Thinking AI,"organisational readiness, market segmentation, menu decision-making, gastronomic tourism, perceived benefits","The abstract discusses the assessment of organisational readiness in small and medium-sized hotels, focusing on menu decision-making related to indigenous local cuisines. This involves strategic analysis, market segmentation, and understanding perceived benefits, aligning with the definitions under Thinking AI, particularly in market analysis and targeting.",10%,5%,85%,0%,0%,"[2019, 2021)",Segmentation,"O objetivo deste artigo é avaliar a prontidão organizacional de hotéis de pequeno e médio porte para servir culinárias locais indígenas e segmentar as propriedades hoteleiras para campanhas de turismo gastronômico e marketing de destinos. O estudo também explora como o conceito de prontidão organizacional se relaciona com as intenções dos tomadores de decisão do menu, benefícios percebidos e características organizacionais. A prontidão organizacional foi medida por três dimensões (cultura, clima e capacidade) e os dados foram obtidos por meio de uma pesquisa com tomadores de decisão do menu de 187 hotéis em Gana. Os hotéis foram agrupados em categorias homogêneas com base nas pontuações dos indicadores de prontidão. As análises revelaram três grupos que distinguem os hotéis pelo grau de prontidão para servir pratos locais. Os segmentos resultantes diferem pela categoria do hotel (classificação por estrelas) e pelas percepções dos tomadores de decisão do menu. Surpreendentemente, hotéis de classe inferior apresentaram níveis significativamente maiores de prontidão organizacional do que os de classe superior. O estudo demonstra que a prontidão organizacional está relacionada a benefícios percebidos e intenções, avançando a compreensão desse conceito no contexto da tomada de decisão do menu. As implicações práticas sugerem que os negócios hoteleiros compreendam a prontidão organizacional e sua relação com as características organizacionais e a tomada de decisão do menu, enfatizando a necessidade de direcionar campanhas para hotéis de classe superior e destacar os benefícios de servir culinárias indígenas. Este artigo representa uma contribuição valiosa para a literatura escassa sobre culinárias indígenas no contexto de serviços alimentares em hotéis."
Customer segmentation model based on value generation for marketing strategies formulation; [Modelo de segmentação do cliente baseado na criação de valor para a formulação de estratégias de marketing]; [Modelo de segmentación de clientes basado en la generación de valor para la formulación de estrategias de mercadeo],Cuadros A.J.; Domínguez V.E.,2014,10.1016/j.estger.2014.02.005,"When deciding in which segment to invest or how to distribute the marketing budget, managers generally take risks in making decisions without considering the real impact every client or segment has over organizational profits. In this paper, a segmentation framework is proposed that considers, firstly, the calculation of customer lifetime value, the current value, and client loyalty, and then the building of client segments by self-organized maps. The effectiveness of the proposed method is demonstrated with an empirical study in a cane sugar mill where a total of 9 segments of interest were identified for decision making. © 2012 Universidad ICESI. Published by Elsevier España, S.L. All rights reserved.",Artificial neural network; Customer value; Segmentation; Self-organized maps,Universidad Icesi,scopus-neural network,26,Thinking AI,"segmentation, customer lifetime value, client loyalty, market budget, decision making","The abstract discusses a segmentation framework that involves calculating customer lifetime value and client loyalty, highlighting strategic decision-making in marketing budget allocation. This aligns with the 'Thinking AI' category, which focuses on market analysis and targeting, as it emphasizes the analytical aspect of customer segmentation and profit impacts over traditional methods.",0%,25%,75%,0%,0%,"[2013, 2015)",Segmentation,"Quando os gestores decidem em qual segmento investir ou como distribuir o orçamento de marketing, geralmente assumem riscos ao tomar decisões sem considerar o impacto real que cada cliente ou segmento tem sobre os lucros da organização. Este artigo propõe uma estrutura de segmentação que considera, primeiramente, o cálculo do valor do tempo de vida do cliente, o valor atual e a lealdade do cliente, e em seguida, a construção de segmentos de clientes por meio de mapas auto-organizados. A eficácia do método proposto é demonstrada por meio de um estudo empírico em uma usina de açúcar, onde foram identificados um total de 9 segmentos de interesse para a tomada de decisões. © 2012 Universidad ICESI. Publicado por Elsevier España, S.L. Todos os direitos reservados."
Managerial applicability of graphical formats to support positioning decisions,Cornelius B.; Wagner U.; Natter M.,2010,10.1007/s11301-010-0061-y,"Issues of segmentation and positioning have always been at the heart of marketing management. In recent years, much methodological progress has been made in order to carry out these two tasks simultaneously, that is, to combine certain types of clustering algorithms with appropriate multidimensional scaling or unfolding procedures. When trying to provide managers with a tool to support marketing decision-making in segmentation and positioning, the ease of use and the visual quality of results must be emphasized. This paper provides a state-of-the-art review of alternative graphical formats designed to assist strategic management. It focuses on three aspects, namely, (I) representing competitive market structures, (II) illustrating preferences for product attributes, and (III) describing customer heterogeneity at the individual as well as segment-specific levels; this paper also explores the interrelations among these aspects. The benefits and limitations of different approaches are discussed, and graphical examples are provided. Advances in academic research are contrasted with the information requirements of marketing managers. Finally, recommendations on the applicability of these alternatives for practical use are offered, and issues for further research are specified. © Wirtschaftsuniversität Wien, Austria 2010.",Graphical formats; Managerial applicability; Multidimensional scaling; Positioning; Segmentation; Targeting; Unfolding,,scopus-recommendation,13,Thinking AI,"segmentation, positioning, market analysis, customer preferences, strategic management, competitive market structures, product attributes, customer heterogeneity","The abstract discusses the methodological advancements in segmentation and positioning within the marketing realm, emphasizing the application of clustering algorithms and multidimensional scaling. It focuses on providing tools for managers to support decision-making, showcasing elements of market analysis and competitive structures, which aligns closely with the definitions under Thinking AI. The paper's emphasis on analyzing customer preferences and competitive market structures further supports its classification in this category.",0%,0%,100%,0%,0%,"[2009, 2011)",Segmentation,"As questões de segmentação e posicionamento sempre foram centrais na gestão de marketing. Nos últimos anos, houve um avanço metodológico significativo para realizar essas duas tarefas simultaneamente, combinando algoritmos de agrupamento com procedimentos adequados de escalonamento multidimensional. Ao tentar fornecer aos gestores uma ferramenta para apoiar a tomada de decisões em marketing, é fundamental enfatizar a facilidade de uso e a qualidade visual dos resultados. Este artigo apresenta uma revisão do estado da arte de formatos gráficos alternativos projetados para auxiliar a gestão estratégica, focando em três aspectos: (I) representação das estruturas de mercado competitivo, (II) ilustração das preferências por atributos de produtos e (III) descrição da heterogeneidade dos clientes em níveis individuais e específicos de segmentos. O artigo também explora as inter-relações entre esses aspectos, discute os benefícios e limitações das diferentes abordagens e fornece exemplos gráficos. Os avanços na pesquisa acadêmica são contrastados com as necessidades de informação dos gestores de marketing. Por fim, são oferecidas recomendações sobre a aplicabilidade dessas alternativas para uso prático e especificadas questões para futuras pesquisas."
Segmenting and Profiling the Chocolate Consumer: An Emerging Market Perspective,Sondhi N.; Chawla D.,2017,10.1080/10454446.2017.1244784,"Psychographic segmentation has found higher merit among marketing scholars and practicing managers in designing effective marketing strategies to target and deliver better—especially for indulgence food such as chocolates. Hence, adopting a mixed method approach, 17 attitudinal statements were generated through focus group discussions and were used to segment a sample of 301 urban chocolate consumers. The survey data was subjected to a K-means cluster analysis, and it revealed the existence of three distinct clusters: the innovative national; the conservative patriot; and the global seeker. Chi-square analysis was conducted to profile the three groups. Though the study was exploratory in nature, the clusters exhibited such distinct buying patterns that the results hold tremendous value not only from an academic perspective but also for chocolate manufacturers and retailers. All three groups were buying chocolates for gifting purpose, while the young innovators liked to buy for self-gifts as well. Point of sales display had maximum impact on their purchase decision. The global seeker was buying more foreign brands versus the other two, who bought chocolate brands of national origin. © 2017 Taylor & Francis.",adult consumers; Chocolate consumption; cluster analysis; emerging markets; Segmentation,Routledge,scopus-k-means,13,Feeling AI,"psychographic segmentation, attitudinal statements, customer understanding, buying patterns, gifting purpose, emotional needs","The abstract discusses psychographic segmentation and the distinct buying patterns of different consumer groups, which indicates a focus on understanding customer emotions and preferences. The study highlights how different clusters of consumers buy chocolates for various reasons, including gifting and self-gifting, showing an understanding of customer emotional needs. This aligns well with the objectives of Feeling AI, which centers on customer understanding and relationalization.",70%,20%,10%,0%,0%,"[2017, 2019)",Segmentation,"A segmentação psicográfica demonstrou maior relevância entre acadêmicos de marketing e gestores na elaboração de estratégias eficazes para direcionar e oferecer produtos, especialmente alimentos indulgentes como chocolates. Utilizando uma abordagem mista, foram geradas 17 afirmações atitudinais através de discussões em grupo focais, que foram usadas para segmentar uma amostra de 301 consumidores urbanos de chocolate. Os dados da pesquisa foram analisados por meio de uma análise de cluster K-means, revelando a existência de três grupos distintos: o inovador nacional, o patriota conservador e o buscador global. Uma análise qui-quadrado foi realizada para caracterizar os três grupos. Embora o estudo tenha sido exploratório, os clusters apresentaram padrões de compra tão distintos que os resultados têm grande valor tanto do ponto de vista acadêmico quanto para fabricantes e varejistas de chocolate. Todos os três grupos compravam chocolates para presente, enquanto os jovens inovadores também gostavam de comprar para si mesmos. A exibição no ponto de venda teve o maior impacto na decisão de compra. O buscador global comprava mais marcas estrangeiras, em contraste com os outros dois grupos, que preferiam marcas de origem nacional."
Analysis of purchase history data based on a new latent class model for RFM analysis,Zhang Q.; Yamashita H.; Mikawa K.; Goto M.,2020,10.7232/IEMS.2020.19.2.476,"Recently, it has become easier to make use of various kinds of information on customers (e.g. customers' purchase history), due to the development of information technology. Especially in the marketing field, in fact, many companies try to employ customer segmentation for the services customization which leads to increase customer loyalty and to keep high customer retention. One of the well-known approaches for the customer analysis based on purchase history data is the RFM analysis. The RFM analysis is usually used to segment customers into several groups by using three variables; how long it has been since their last purchase, how many times they purchased, and how much they spent. However, the conventional method of the RFM analysis did not assume a generative model. Therefore, when applying to an actual data set and scoring each index of R, F, M scores, several problems occur. The main problem is that an analyst should arbitrarily decide the threshold for the scores of RFM. On the other hand, in the field of machine learning, the probabilistic latent semantic analysis is widely used for soft clustering. The latent class model enables us to cluster customers into latent classes and to calculate the assignment probabilities of each customer to each latent class. In this paper, we propose a new latent class model for the RFM analysis based on the purchase history data. The proposed model enables to decide the scoring of RFM and segment customers automatically, and the soft clustering approach helps the interpretation of the result. Furthermore, the proposed model takes account of the generation model of RFM scores. From the result of actual data analysis, it became clear that it is possible to extract latent classes that express the statistical characteristics of data well. Given a generative model estimated from the given data, it is also possible to predict future purchase behaviors of customers or to generate virtual data for simulation analysis and make decisions based on the result. We verify the effectiveness of our model by analyzing a real purchase history data of a Japanese major retail company. © 2020 KIIE",Latent Class Model; Marketing Segmentation; RFM Analysis,Korean Institute of Industrial Engineers,scopus-machine learning,9,Thinking AI,"customer segmentation, RFM analysis, latent class model, purchase behavior, data analysis","The abstract discusses a new approach to customer segmentation using RFM analysis and a latent class model, which aligns with market analysis and strategic targeting in marketing. The focus on analyzing customer purchase behavior and predicting future actions falls under the scope of Thinking AI, which emphasizes market analysis and targeting. The abstract does not emphasize emotional understanding or mechanical processes, but rather highlights analytical models for customer behavior predictions.",10%,15%,75%,0%,0%,"[2019, 2021)",Segmentation,"Recentemente, o uso de informações sobre clientes, como o histórico de compras, tornou-se mais acessível devido ao avanço da tecnologia da informação. Muitas empresas, especialmente no marketing, utilizam a segmentação de clientes para personalizar serviços, aumentando a lealdade e a retenção de clientes. A análise RFM, que segmenta clientes com base em três variáveis (tempo desde a última compra, frequência de compras e valor gasto), é uma abordagem conhecida, mas a metodologia convencional não considera um modelo gerativo, levando a problemas na definição de limiares para as pontuações. Em contraste, a análise semântica latente probabilística é utilizada em aprendizado de máquina para agrupamento suave. Este artigo propõe um novo modelo de classe latente para a análise RFM, que automatiza a segmentação de clientes e a pontuação RFM, além de considerar o modelo gerativo das pontuações. A análise de dados reais demonstrou a capacidade de extrair classes latentes que refletem bem as características estatísticas dos dados, permitindo prever comportamentos de compra futuros e gerar dados virtuais para simulações. A eficácia do modelo foi verificada com dados de uma grande empresa de varejo japonesa."
"The value chain of the jumbo squid (Dosidicus gigas) in Mexico: Diagnostic, structural analysis, and scenarios",Cruz-Escalona V.H.; Moncaleano-Rubio Y.A.; Morales-Bojórquez E.; Arizmendi-Rodríguez D.I.; Pérez-Palafox X.A.; Ornelas-Vargas A.; Payán-Alcacio J.Á.; Urcádiz-Cazares F.J.,2024,10.1016/j.marpol.2024.106099,"The value chain for jumbo squid fishery encompasses a process of linking multiple components and actors that generate and promote capitalization of the added value of this fishery product. This study aims to diagnose the value chain for jumbo squid in Mexico using the structural analysis approach, allowing a description of the main actors, and their interactions with the markets, socioeconomic drivers, as well as the influence of different variables in the performance of jumbo squid chain value. The results derived from the structural analysis, six variables (related to the transformation, marketing, and consumption activities) and two actors (producers and academic research) were identified as the most relevant. The competitive advantages and added value could be reached by integrating the aspects related to the most relevant variables and taking appropriate decisions to deal with situations of uncertainty, which can promote weak nodes in the value chain, primarily because of the failures in the commercialization and consumption of jumbo squid. This suggests that efforts should not be concentrated on a single node but should be addressed jointly. Considering that the jumbo squid value chain currently depends on the changing conditions of the fishery, which is marked by production instability, causing uncertainty in the subsequent nodes; the status indicates that a restructuring of the value chain is evident since the market is prone to dismantling or self-regulation over the medium term. © 2024 Elsevier Ltd","MACTOR method; Matrix of Alliances and Conflicts, Tactics, Objectives and Recommendations; Matrix of Cross Impact Multiplications Applied to Classification; MICMAC method; MORPHOL method; Structural analysis",Elsevier Ltd,scopus-recommendation,1,Thinking AI,"value chain, market analysis, competitive advantages, socioeconomic drivers, performance, restructuring","The abstract discusses the diagnosis of the jumbo squid value chain in Mexico, focusing on the analysis of market interactions and the identification of competitive advantages. It emphasizes the importance of understanding various socioeconomic drivers and market conditions, which aligns with the 'Market analysis' and 'Targeting' focuses of Thinking AI. Additionally, the mention of restructuring the value chain to address uncertainties reinforces the strategic analysis aspect, further validating the classification.",0%,0%,100%,0%,0%,"[2023, 2025)",Classification,"A cadeia de valor da pesca do lula gigante envolve um processo de ligação entre múltiplos componentes e atores que geram e promovem a capitalização do valor agregado deste produto pesqueiro. Este estudo tem como objetivo diagnosticar a cadeia de valor da lula gigante no México utilizando a abordagem de análise estrutural, permitindo a descrição dos principais atores e suas interações com os mercados, fatores socioeconômicos, bem como a influência de diferentes variáveis no desempenho da cadeia de valor da lula gigante. Os resultados da análise estrutural identificaram seis variáveis (relacionadas às atividades de transformação, comercialização e consumo) e dois atores (produtores e pesquisa acadêmica) como os mais relevantes. As vantagens competitivas e o valor agregado podem ser alcançados integrando os aspectos relacionados às variáveis mais relevantes e tomando decisões apropriadas para lidar com situações de incerteza, que podem promover nós fracos na cadeia de valor, principalmente devido a falhas na comercialização e consumo da lula gigante. Isso sugere que os esforços não devem ser concentrados em um único nó, mas devem ser abordados de forma conjunta. Considerando que a cadeia de valor da lula gigante atualmente depende das condições mutáveis da pesca, que é marcada pela instabilidade da produção, causando incerteza nos nós subsequentes; o status indica que uma reestruturação da cadeia de valor é evidente, uma vez que o mercado é propenso ao desmantelamento ou autorregulação a médio prazo."
Machine Learning Approach and Model Performance Evaluation for Tele-Marketing Success Classification,"Koçoglu, FÖ; Esnaf, S",2022,10.4018/IJBAN.298014,"Up to the present, various methods such as data mining, machine learning, and artificial intelligence have been used to get the best assessment from huge and important data resources. Deep learning, one of these methods, is an extended version of artificial neural networks. Within the scope of this study, a model has been developed to classify the success of tele-marketing with different machine learning algorithms, especially with deep learning algorithms. Naive Bayes, C5.0, Extreme Learning Machine, and Deep Learning algorithms have been used for modelling. To examine the effect of class label distribution on model success, synthetic minority oversampling technique has been used. The results have revealed the success of deep learning and decision trees algorithms. When the data set was not balanced, the deep learning algorithm performed better in terms of sensitivity. Among all models, the best performance in terms of accuracy, precision, and F-score have been achieved with the C5.0 algorithm.",Class Label Distribution; Classification; Decision Trees; Deep Learning; Deep Neural Network; Machine Learning; Tele-Marketing Banking,IGI GLOBAL,wos-artificial intelligence,1,Thinking AI,"data mining, machine learning, deep learning, classification, model success, C5.0, accuracy, precision, F-score","The abstract discusses the application of various machine learning algorithms, especially deep learning, to classify the success of tele-marketing. This aligns with the Thinking AI category, which focuses on market analysis and targeting through the use of advanced analytics to identify performance metrics such as accuracy and precision. The study emphasizes the evaluation of model success based on different algorithms, which is indicative of strategic analysis in a marketing context.",0%,0%,100%,0%,0%,"[2021, 2023)",Classification,"Até o presente momento, diversos métodos como mineração de dados, aprendizado de máquina e inteligência artificial têm sido utilizados para obter a melhor avaliação a partir de grandes e importantes recursos de dados. O aprendizado profundo, um desses métodos, é uma versão ampliada das redes neurais artificiais. No âmbito deste estudo, foi desenvolvido um modelo para classificar o sucesso do telemarketing com diferentes algoritmos de aprendizado de máquina, especialmente com algoritmos de aprendizado profundo. Foram utilizados algoritmos Naive Bayes, C5.0, Extreme Learning Machine e Deep Learning para a modelagem. Para examinar o efeito da distribuição de rótulos de classe no sucesso do modelo, foi utilizada a técnica de sobreamostragem de minoria sintética. Os resultados revelaram o sucesso dos algoritmos de aprendizado profundo e das árvores de decisão. Quando o conjunto de dados não estava balanceado, o algoritmo de aprendizado profundo apresentou melhor desempenho em termos de sensibilidade. Entre todos os modelos, o melhor desempenho em termos de precisão, exatidão e F-score foi alcançado com o algoritmo C5.0."
Aspect based sentiment analysis and smart classification in uncertain feedback pool,Kumar V.V.; Raghunath K.M.K.; Muthukumaran V.; Joseph R.B.; Beschi I.S.; Uday A.K.,2022,10.1007/s13198-021-01379-2,"The data used in the opinion can be either factual or subjective, or both. The subjective form includes a positive or negative view, whereas there are facts in the objective form. As the result of opinion mining, the subjectivity and objectivity of knowledge are described as created. The outcome may be either positive or negative or a combination of both. Machine learning helps the computer to behave without a specific task being specifically programmed. Many consumers will critically evaluate everything online, especially food and amenities in eateries, to show their modest viewpoint. These views are critical in the decision-making process, especially in an uncertain feedback pool. Manually evaluating and deriving genuine opinions from these evaluations is very tough despite the growing count of opinions that are accessible in every category. So, to solve this issue, an automated methodology is needed. Sentiment evaluations or opinion extraction are returned methodologies to evaluate and identify uncertain feedback subjects as either positive or negative in these reviews. Three different dimensions of recommender systems are present; document-based, sentence-based, and aspect-based. Report and statement-based opinion mining concentrates on the broader orientation of the review and does not identify more accurately the crucial aspects of all the extracted reviews. The subject of trend is thus view-based opinion mining, and the emphasis of this research is on the restaurant's feedback sector. Creative marketing strategies are planned using sentiment assessments and opinion mining. The sentiment classifications are managed through a smart method called Neuro-Fuzzy Sentiment Classification. It is an entirely automated method of sentiment estimation and prediction. It can be used to group textual data and then used to identify patterns about the contents of the textual information. The resultant data aids in creating autonomous systems that consider the input from customers and prepare restaurant strategies. © 2021, The Society for Reliability Engineering, Quality and Operations Management (SREQOM), India and The Division of Operation and Maintenance, Lulea University of Technology, Sweden.",Accuracy; Aspect-based; Classification; Document-based; Machine learning; Opinion mining; Sentenced-based; Sentiment analysis; Uncertain feedback pool,Springer,scopus-autonomous,23,Feeling AI,"sentiment assessments, opinion mining, customer strategies, emotional data, customer needs, restaurant feedback","The abstract discusses the use of sentiment analysis and opinion mining to understand customer feedback, particularly in the restaurant sector. It emphasizes the importance of understanding customer emotions and opinions, which aligns with the Feeling AI category. The methodologies mentioned aim to gauge customer sentiment and incorporate it into marketing strategies, indicating an understanding of customer emotional needs.",60%,20%,20%,0%,0%,"[2021, 2023)",Classification,"Os dados utilizados nas opiniões podem ser factuais ou subjetivos, ou ambos. A forma subjetiva inclui uma visão positiva ou negativa, enquanto a forma objetiva contém fatos. O resultado da mineração de opiniões descreve a subjetividade e a objetividade do conhecimento como criadas. O resultado pode ser positivo, negativo ou uma combinação de ambos. O aprendizado de máquina ajuda o computador a agir sem uma tarefa específica programada. Muitos consumidores avaliam criticamente tudo online, especialmente alimentos e serviços em restaurantes, para expressar seu ponto de vista. Essas opiniões são cruciais no processo de tomada de decisão, especialmente em um ambiente de feedback incerto. Avaliar manualmente e extrair opiniões genuínas dessas avaliações é muito difícil, apesar do crescente número de opiniões disponíveis em cada categoria. Portanto, uma metodologia automatizada é necessária. Avaliações de sentimento ou extração de opiniões são metodologias utilizadas para avaliar e identificar temas de feedback incertos como positivos ou negativos nessas análises. Existem três dimensões diferentes de sistemas de recomendação: baseados em documentos, baseados em sentenças e baseados em aspectos. A mineração de opiniões baseada em relatórios e declarações concentra-se na orientação mais ampla da análise e não identifica com precisão os aspectos cruciais de todas as análises extraídas. O tema da tendência é, portanto, a mineração de opiniões baseada em visualizações, e o foco desta pesquisa é no setor de feedback de restaurantes. Estratégias de marketing criativas são planejadas usando avaliações de sentimento e mineração de opiniões. As classificações de sentimento são geridas por um método inteligente chamado Classificação de Sentimento Neuro-Fuzzy. É um método totalmente automatizado de estimativa e previsão de sentimento. Pode ser utilizado para agrupar dados textuais e, em seguida, identificar padrões sobre o conteúdo das informações textuais. Os dados resultantes ajudam a criar sistemas autônomos que consideram as opiniões dos clientes e preparam estratégias para restaurantes."
Customer determinants of used auto loan churn: comparing predictive performance using machine learning techniques,Valluri C.; Raju S.; Patil V.H.,2022,10.1057/s41270-021-00135-6,"This paper addresses the use of a customer character model as a determinant of used auto loan churn among a unique population of subprime borrowers. The customer character model (i.e restricted model) is compared to a full model consisting of the 4 Cs of capacity, collateral, credit, and character of churn prediction. The results reveal that there is a difference between the full model and the customer character model. Additionally, different supervised classification methods, such as logistic regression (LR), linear discriminant analysis (LDA), decision trees (DTs), and random forests (RFs), are applied and compared in terms of multiple predictive performance measures. The RF classification measures report the strongest performance. Additionally, different classification methods suggest the importance of different customer character variables. Therefore, from a practical perspective, effective borrower character screening is recommended to determine customer profiles more accurately for the purposes of target marketing and customer retention. This study also deepens understanding of subprime credit markets and reveals additional insights to credit screening using machine learning techniques. © 2021, The Author(s), under exclusive licence to Springer Nature Limited.",4 Cs; Auto loans; Churn; Classification techniques; Credit screening; Machine learning; Subprime; Supervised learning,Palgrave Macmillan,scopus-machine learning,3,Thinking AI,"customer character model, churn prediction, supervised classification, target marketing, customer retention, subprime borrowers","The abstract discusses the use of a customer character model to predict auto loan churn among subprime borrowers, focusing on the analysis of different classification methods and their effectiveness. This aligns with the 'Thinking AI' category, particularly in terms of market analysis and targeting, as it aims to improve understanding of customer profiles for better marketing strategies. The emphasis on predictive performance measures and borrower character screening further supports this classification.",0%,0%,100%,0%,0%,"[2021, 2023)",Classification,"Este artigo aborda o uso de um modelo de caráter do cliente como determinante da rotatividade de empréstimos de automóveis usados entre uma população única de mutuários subprime. O modelo de caráter do cliente (ou modelo restrito) é comparado a um modelo completo que consiste nos 4 Cs: capacidade, colateral, crédito e caráter na previsão de rotatividade. Os resultados revelam uma diferença entre o modelo completo e o modelo de caráter do cliente. Além disso, diferentes métodos de classificação supervisionada, como regressão logística (LR), análise discriminante linear (LDA), árvores de decisão (DTs) e florestas aleatórias (RFs), são aplicados e comparados em termos de múltiplas medidas de desempenho preditivo. As medidas de classificação RF reportam o melhor desempenho. Além disso, diferentes métodos de classificação sugerem a importância de diferentes variáveis de caráter do cliente. Portanto, de uma perspectiva prática, recomenda-se uma triagem eficaz do caráter do mutuário para determinar perfis de clientes de forma mais precisa para fins de marketing direcionado e retenção de clientes. Este estudo também aprofunda a compreensão dos mercados de crédito subprime e revela insights adicionais sobre a triagem de crédito usando técnicas de aprendizado de máquina."
Analysis of Online Consumer Behavior - Design of CRISP-DM Process Model,Exenberger E.; Bucko J.,2020,10.7160/AOL.2020.120302,"The basis of the modern marketing of a business entity is to know the behavior of its customers. Advanced artificial intelligence methods, such as data mining and machine learning methods, penetrate data analysis. The application of these methods is most appropriate in the case of online sales of any goods in large quantities and various industries. They are very often used in the sale of electroni cs, PCs or clothes. However, it is also possible to apply them to the agricultural industry, not only in B2C, but also in B2B in the sale of seeds, agricultural products, or agricultural machinery. Appropriate combinations of offers and knowledge of customers can bring the selling entity higher profits or competitive advantages. The main goal of our study is to design a CRISP-DM process model that will enable small businesses to analyze online customers’ behavior. To reach the main goal we perform a data analysis of the online sales data by using machine learning methods as clustering, decision tree and association rules mining. After evaluating the proposed model, we discuss its use of the proposed model in the field of internet sales in the agricultural sector.; JEL Classification: C53, D11, D91, M21, M31 © 2020",association rules; Classification; consumer behavior; data analysis; online shopping,Faculty of Economics and Management,scopus-artificial intelligence,10,Thinking AI,"data analysis, machine learning, customer behavior, online sales, competitive advantages, CRISP-DM process model","The abstract focuses on analyzing customer behavior using advanced AI methods, particularly in the context of online sales and marketing strategies. It emphasizes the use of data mining and machine learning techniques to identify patterns and enhance competitive advantages, which aligns well with the objectives of market analysis and targeting in the Thinking AI category. The study also aims to design a model for small businesses to better understand and analyze their online customers, further supporting its classification under Thinking AI.",0%,20%,80%,0%,0%,"[2019, 2021)",Classification,"A base do marketing moderno de uma entidade empresarial é conhecer o comportamento de seus clientes. Métodos avançados de inteligência artificial, como mineração de dados e aprendizado de máquina, são utilizados na análise de dados, especialmente em vendas online de produtos em grandes quantidades e em diversas indústrias, como eletrônicos, PCs e roupas. Esses métodos também podem ser aplicados à indústria agrícola, tanto em B2C quanto em B2B, na venda de sementes, produtos agrícolas ou máquinas agrícolas. Combinações adequadas de ofertas e conhecimento dos clientes podem trazer maiores lucros ou vantagens competitivas para a entidade vendedora. O principal objetivo do nosso estudo é projetar um modelo de processo CRISP-DM que permita a pequenas empresas analisar o comportamento de clientes online. Para alcançar esse objetivo, realizamos uma análise de dados das vendas online utilizando métodos de aprendizado de máquina, como agrupamento, árvore de decisão e mineração de regras de associação. Após a avaliação do modelo proposto, discutimos sua aplicação no campo das vendas pela internet no setor agrícola."
