Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source,Cited,classification,keywords,rationale,Feeling AI,Mechanical AI,Thinking AI,Out of Scope,Not Identified,Year_Group,Topic
Performance evaluation for competency of bank telemarketing prediction using data mining techniques,Rashid Farooqi M.; Iqbal N.,2019,10.35940/ijrte.A1269.078219,"In today's market there is cut throat competition in the banks and struggling hard to gain competitive advantage over each other. The banking industry has undergone tremendous changes in the way business conducted. They realizes the needs and techniques of data mining which is helpful tool to gather, store, capture data and convert into knowledge. The application of data mining enhances the performance of telemarketing process in banking industry. It also provide an insight how these techniques effectively used in banking industry to make the decision making process easier and productive. This work describes a data mining approach to extract valuable knowledge and information from a bank telemarketing campaign data. At this time, the potential of five data mining methods was explored for forecasting of term deposit subscription. The presentation of these techniques was evaluated on fourteen different classifier parameters. The overall better performance achieved by J48 decision tree which reported 91.2% correctly classified with sensitivity, specificity and lowest error rate of 53.8, 95.9 and 8.8 % respectively. © BEIESP.",Bank telemarketing; Classification; Data mining; Decision support; Direct marketing,Blue Eyes Intelligence Engineering and Sciences Publication,scopus-data mining,10,Mechanical AI,"['data mining', 'telemarketing process', 'data collection', 'forecasting', 'decision making', 'bank telemarketing campaign']","The abstract discusses the use of data mining techniques to improve the telemarketing process in the banking industry, emphasizing the gathering and processing of data to extract valuable knowledge. This aligns with the Mechanical AI category, which focuses on data collection and automated processes. Although there are elements of decision-making and performance evaluation, the primary focus remains on data mining as a tool for data collection and analysis.",0%,70%,30%,0%,0%,"[2019, 2021)",Decision support
Semiautomated identification and classification of customer complaints,Choe P.; Lehto M.R.; Shin G.-C.; Choi K.-Y.,2013,10.1002/hfm.20325,"This paper examines the feasibility of extracting useful information from customer comments using a Naïve Bayes classifier. This was done for a database, obtained from a large Korean mobile telephone service provider, of 533 customer calls to call centers in 2009. After eliminating calls not containing customer complaints or comments, the remaining 383 comments were classified by an expert panel into four domains and 27 complaint categories. The four domains were Transaction-related (189 comments, 49%), Product-related (120 comments, 31%), Customer Service or Support-related (38 comments, 10%) and Customer Outreach and Marketing-related (36 comments, 9%). The comments were then randomly assigned to either a training set (257 cases, 67%) or test set (126 cases, 33%). The training set was used to develop a Naïve Bayes classifier that correctly predicted the domain 75% of the time and the specific subcategory 51% of the time for the test set. Prediction accuracy was strongly related to prediction strength for both sets of predictions, suggesting that simple filtering strategies where difficult to understand comments are flagged for expert review and easy comments are automatically classified are both technically feasible and likely to be practically valuable. Several strong predictors were also identified that corresponded to categories more detailed than those originally assigned. © 2012 Wiley Periodicals, Inc., A Wiley Company.",Bayesian inference; Call center agent; Customer complaints; Decision support; TextMiner,,scopus-prediction,6,Mechanical AI,"['Naïve Bayes classifier', 'customer comments', 'data extraction', 'customer complaints', 'comment classification', 'training set', 'test set', 'prediction accuracy']","The abstract discusses the use of a Naïve Bayes classifier to process and classify customer comments, which involves automating the data collection and classification process. This aligns with the Mechanical AI category's focus on data collection and standardization, as it aims to automate customer comment analysis and improve the efficiency of identifying customer needs through segmentation into various domains and complaint categories.",0%,70%,20%,0%,10%,"[2013, 2015)",Decision support
A decision support system to evaluate the quality and warranty policies for remanufactured products,Kuik S.; Ban J.; Diong L.; Qi X.,2023,10.1108/TQM-02-2022-0046,"Purpose: This paper proposes optimisation models to evaluate and examine the selling of extended warranty policies in terms of improved profits in producing/marketing remanufactured products. These models are numerically solved using a quadratic programming solution approach and implemented in the decision support system (DSS). Design/methodology/approach: The purpose of this paper is to develop the optimisation models for a DSS and evaluate different warranty policies for buyers. Findings: This study has demonstrated the flexibility and usefulness of a model-driven DSS for the quality and warranty management, which is applied to examine and evaluate different configurations (i.e. component reuse, rebuild and recycle) for remanufactured products and propose the selling of extended warranty policies for buyers. Research limitations/implications: The developed model-driven DSS can assist manufacturers to select and increase the number of components, e.g. to be reused, rebuilt, and recycled for producing a remanufactured product and propose suitable warranty policies for buyers. However, this study focusses only on the evaluation of warranty policies for specific remanufactured products in a DSS, i.e. types of air compressors for production operations in manufacturing industry. Originality/value: This study developed optimisation models to be used in a DSS for proposing the selling of extended warranty of a remanufactured product to improve customer satisfaction and maximise the gained profits for manufacturers. © 2022, Emerald Publishing Limited.",Decision support system; Product remanufacturing; Quality management; Reliability; Warranty,Emerald Publishing,scopus-artificial intelligence,2,Mechanical AI,"['optimisation models', 'decision support system', 'warranty policies', 'remanufactured products', 'profits']","The abstract discusses the development of optimisation models for a decision support system intended to improve the selling of extended warranty policies for remanufactured products. This aligns with the Mechanical AI category, which focuses on automating processes to meet customer needs and enhancing marketing strategies through data-driven approaches. The emphasis on improving profits through marketing remanufactured products indicates an automated approach to market analysis and segmentation, which are key aspects of Mechanical AI.",0%,70%,20%,0%,10%,"[2023, 2025)",Decision support
INTEGRATED SMART INDUSTRY 4.0-BASED DECISION SUPPORT FOR OPTIMIZING TACTICAL-OPERATIONAL DECISIONS: CASE STUDY,Bagheri H.; Ghavareshki M.H.K.; Abbasi M.; Fazlollahtabar H.,2025,10.3934/jimo.2024105,"The paper considers a model for an intelligent sales-distribution network that makes decisions related to marketing, inventory control, and pricing in the entire network. Considering the importance of staying in the competitive world, using machine learning tools is of great importance. A decision support system has been used to forecast the demand. Actual sales data is inserted into the decision support system, and then, using available evidence and past performance, a decision is made to estimate the demand. Then, an intelligent algorithm for solving the mathematical model is raised, which performs the model real-time using the data received from the decision support system and provides updated results. Sensitivity analysis was performed for validation. According to the obtained results, intelligent has a great impact on the objective function values and the use of real data helps in the network performance leading to cost reduction and lost sales. Two innovations used have not been investigated simultaneously in any of the previous studies. © (2025), (American Institute of Mathematical Sciences). All rights reserved.",Decision support system; IIntegrated manage; Inventory; Pricing; Smart distribution and sales network,American Institute of Mathematical Sciences,scopus-machine learning,0,Mechanical AI,"['intelligent sales-distribution network', 'decision support system', 'forecast the demand', 'real-time', 'data', 'cost reduction', 'inventory control', 'pricing']","The abstract discusses a model for an intelligent sales-distribution network that employs machine learning tools for decision-making in marketing, inventory control, and pricing. The focus is on automating processes related to demand forecasting and using real sales data to make informed decisions, which aligns with the definitions of Mechanical AI that involve automating processes and using data collection. There is less emphasis on analysis or emotional understanding typically associated with Thinking or Feeling AI.",0%,70%,20%,0%,10%,,Decision support
"Discovering recency, frequency, and monetary (RFM) sequential patterns from customers' purchasing data",Chen Y.-L.; Kuo M.-H.; Wu S.-Y.; Tang K.,2009,10.1016/j.elerap.2009.03.002,"In response to the thriving development in electronic commerce (EC), many on-line retailers have developed Web-based information systems to handle enormous amounts of transactions on the Internet. These systems can automatically capture data on the browsing histories and purchasing records of individual customers. This capability has motivated the development of data-mining applications. Sequential pattern mining (SPM) is a useful data-mining method to discover customers' purchasing patterns over time. We incorporate the recency, frequency, and monetary (RFM) concept presented in the marketing literature to define the RFM sequential pattern and develop a novel algorithm for generating all RFM sequential patterns from customers' purchasing data. Using the algorithm, we propose a pattern segmentation framework to generate valuable information on customer purchasing behavior for managerial decision-making. Extensive experiments are carried out, using synthetic datasets and a transactional dataset collected by a retail chain in Taiwan, to evaluate the proposed algorithm and empirically demonstrate the benefits of using RFM sequential patterns in analyzing customers' purchasing data. © 2009 Elsevier B.V. All rights reserved.",Constraint-based mining; RFM; Segmentation; Sequential pattern,,scopus-data mining,142,Mechanical AI,"['data-mining', 'purchasing patterns', 'RFM sequential patterns', 'transactional dataset', 'data capture']","The abstract discusses the development of Web-based information systems to handle transactions and capture customer data, specifically focusing on sequential pattern mining to analyze purchasing behavior. This aligns with the Mechanical AI category, which emphasizes data collection and segmentation. The use of algorithms to generate RFM sequential patterns further indicates a focus on automating processes related to identifying customer preference patterns.",0%,70%,30%,0%,0%,"[2009, 2011)",Segmentation
"Discovering recency, frequency, and monetary (RFM) sequential patterns from customers' purchasing data",Chen Y.-L.; Kuo M.-H.; Wu S.-Y.; Tang K.,2009,10.1016/j.elerap.2009.03.002,"In response to the thriving development in electronic commerce (EC), many on-line retailers have developed Web-based information systems to handle enormous amounts of transactions on the Internet. These systems can automatically capture data on the browsing histories and purchasing records of individual customers. This capability has motivated the development of data-mining applications. Sequential pattern mining (SPM) is a useful data-mining method to discover customers' purchasing patterns over time. We incorporate the recency, frequency, and monetary (RFM) concept presented in the marketing literature to define the RFM sequential pattern and develop a novel algorithm for generating all RFM sequential patterns from customers' purchasing data. Using the algorithm, we propose a pattern segmentation framework to generate valuable information on customer purchasing behavior for managerial decision-making. Extensive experiments are carried out, using synthetic datasets and a transactional dataset collected by a retail chain in Taiwan, to evaluate the proposed algorithm and empirically demonstrate the benefits of using RFM sequential patterns in analyzing customers' purchasing data. © 2009 Elsevier B.V. All rights reserved.",Constraint-based mining; RFM; Segmentation; Sequential pattern,,scopus-data mining,142,Mechanical AI,"['data-mining', 'purchasing patterns', 'RFM sequential patterns', 'transactional dataset', 'data capture']","The abstract discusses the development of Web-based information systems to handle transactions and capture customer data, specifically focusing on sequential pattern mining to analyze purchasing behavior. This aligns with the Mechanical AI category, which emphasizes data collection and segmentation. The use of algorithms to generate RFM sequential patterns further indicates a focus on automating processes related to identifying customer preference patterns.",0%,70%,30%,0%,0%,"[2009, 2011)",Segmentation
Predicting the success of ensemble algorithms in the banking sector,Dağ Ö.H.N.,2019,10.4018/IJBAN.2019100102,"The banking sector, like other service sector, improves in accordance with the customer’s needs. Therefore, to know the needs of customers and to predict customer behaviors are very important for competition in the banking sector. Data mining uncovers relationships and hidden patterns in large data sets. Classification algorithms, one of the applications of data mining, is used very effectively in decision making. In this study, the c4.5 algorithm, a decision trees algorithm widely used in classification problems, is used in an integrated way with the ensemble machine learning methods in order to increase the efficiency of the algorithms. Data obtained via direct marketing campaigns from Portugal Banks was used to classify whether customers have term deposit accounts or not. Artificial Neural Networks and Support Vector Machines as Traditional Artificial Intelligence Methods and Bagging-C4.5 and Boosted-C.45 as ensemble-decision tree hybrid methods were used in classification. Bagging-C4.5 as ensemble-decision tree algorithm achieved more powerful classification success than other used algorithms. The ensemble-decision tree hybrid methods give better results than artificial neural networks and support vector machines as traditional artificial intelligence methods for this study. Copyright © 2019, IGI Global. Copying or distributing in print or electronic forms without written permission of IGI Global is prohibited.",Classification; Data Mining; Decision Tree Algorithm; Ensemble Algorithms; Feature Selection; Machine Learning,IGI Global,scopus-artificial intelligence,0,Mechanical AI,"['data mining', 'classification algorithms', 'direct marketing', 'customer behaviors', 'decision making', 'data sets', 'term deposit accounts']","The abstract primarily discusses the use of data mining and classification algorithms to analyze customer behaviors in the banking sector. It focuses on automating the collection and processing of data to improve decision-making related to customer needs. The mention of using ensemble methods to enhance classification aligns with the mechanical aspect of automating processes in understanding customer preferences, making it relevant to the Mechanical AI category.",0%,100%,0%,0%,0%,"[2019, 2021)",Classification
Performance evaluation for competency of bank telemarketing prediction using data mining techniques,Rashid Farooqi M.; Iqbal N.,2019,10.35940/ijrte.A1269.078219,"In today's market there is cut throat competition in the banks and struggling hard to gain competitive advantage over each other. The banking industry has undergone tremendous changes in the way business conducted. They realizes the needs and techniques of data mining which is helpful tool to gather, store, capture data and convert into knowledge. The application of data mining enhances the performance of telemarketing process in banking industry. It also provide an insight how these techniques effectively used in banking industry to make the decision making process easier and productive. This work describes a data mining approach to extract valuable knowledge and information from a bank telemarketing campaign data. At this time, the potential of five data mining methods was explored for forecasting of term deposit subscription. The presentation of these techniques was evaluated on fourteen different classifier parameters. The overall better performance achieved by J48 decision tree which reported 91.2% correctly classified with sensitivity, specificity and lowest error rate of 53.8, 95.9 and 8.8 % respectively. © BEIESP.",Bank telemarketing; Classification; Data mining; Decision support; Direct marketing,Blue Eyes Intelligence Engineering and Sciences Publication,scopus-data mining,10,Mechanical AI,"['data mining', 'telemarketing process', 'data collection', 'forecasting', 'decision making', 'bank telemarketing campaign']","The abstract discusses the use of data mining techniques to improve the telemarketing process in the banking industry, emphasizing the gathering and processing of data to extract valuable knowledge. This aligns with the Mechanical AI category, which focuses on data collection and automated processes. Although there are elements of decision-making and performance evaluation, the primary focus remains on data mining as a tool for data collection and analysis.",0%,70%,30%,0%,0%,"[2019, 2021)",Classification
Using multi decision tree technique to improving decision tree classifier,Maazouzi F.; Bahi H.,2012,10.1504/IJBIDM.2012.051712,"The automatic classification systems, prediction and data mining are used in many applications (marketing, finance, customer relationship management...) using large databases. In this paper we describe a new data mining approach based on decision trees. In the proposed approach we built a multi-layer decision tree model, where each layer consists of several decision trees. The aim of the multi decision tree (MDT) is to improve decision tree classifier. The performances of MDT are compared with C4.5 decision tree algorithm and some ensemble of decision tree classifiers, namely bagging decision tree, boosting decision trees (BDT) and random forests decision tree. Results show substantial improvements when compared to these approaches. Copyright © 2012 Inderscience Enterprises Ltd.",Classification; Data mining; Data mining techniques; Decision tree; Decision tree algorithm; Machine learning,Inderscience Publishers,scopus-data mining,8,Mechanical AI,"['data mining', 'decision tree', 'classification', 'prediction', 'data', 'automated processes']","The abstract discusses the development of a multi-layer decision tree model for data mining and classification, which aligns with the Mechanical AI category's focus on data collection and automated processes. The emphasis on improving decision tree classifiers indicates a systematic approach to handling large databases, which is a characteristic of Mechanical AI applications in marketing.",0%,80%,20%,0%,0%,"[2011, 2013)",Classification
Performance evaluation for competency of bank telemarketing prediction using data mining techniques,Rashid Farooqi M.; Iqbal N.,2019,10.35940/ijrte.A1269.078219,"In today's market there is cut throat competition in the banks and struggling hard to gain competitive advantage over each other. The banking industry has undergone tremendous changes in the way business conducted. They realizes the needs and techniques of data mining which is helpful tool to gather, store, capture data and convert into knowledge. The application of data mining enhances the performance of telemarketing process in banking industry. It also provide an insight how these techniques effectively used in banking industry to make the decision making process easier and productive. This work describes a data mining approach to extract valuable knowledge and information from a bank telemarketing campaign data. At this time, the potential of five data mining methods was explored for forecasting of term deposit subscription. The presentation of these techniques was evaluated on fourteen different classifier parameters. The overall better performance achieved by J48 decision tree which reported 91.2% correctly classified with sensitivity, specificity and lowest error rate of 53.8, 95.9 and 8.8 % respectively. © BEIESP.",Bank telemarketing; Classification; Data mining; Decision support; Direct marketing,Blue Eyes Intelligence Engineering and Sciences Publication,scopus-data mining,10,Mechanical AI,"['data mining', 'telemarketing process', 'data collection', 'forecasting', 'decision making', 'bank telemarketing campaign']","The abstract discusses the use of data mining techniques to improve the telemarketing process in the banking industry, emphasizing the gathering and processing of data to extract valuable knowledge. This aligns with the Mechanical AI category, which focuses on data collection and automated processes. Although there are elements of decision-making and performance evaluation, the primary focus remains on data mining as a tool for data collection and analysis.",0%,70%,30%,0%,0%,"[2019, 2021)",Classification
